"A"	"B"	"Neither"	"A.Not.B"	"B.Not.A"	"Both"	"or"	"pval"	"logor"	"nlp"	"adjp"
"CBL"	"SRSF2"	71	3	2	0	0	1	-Inf	0	1
"SF3B1"	"SRSF2"	71	3	2	0	0	1	-Inf	0	1
"PHF6"	"SRSF2"	71	3	2	0	0	1	-Inf	0	1
"PHF6"	"U2AF2"	71	3	2	0	0	1	-Inf	0	1
"ATM"	"SRSF2"	71	3	2	0	0	1	-Inf	0	1
"ATM"	"U2AF2"	71	3	2	0	0	1	-Inf	0	1
"ABL1"	"ATM"	71	2	3	0	0	1	-Inf	0	1
"ATM"	"ZRSR2"	71	3	2	0	0	1	-Inf	0	1
"RUNX1"	"SRSF2"	71	3	2	0	0	1	-Inf	0	1
"RUNX1"	"U2AF2"	71	3	2	0	0	1	-Inf	0	1
"ABL1"	"RUNX1"	71	2	3	0	0	1	-Inf	0	1
"RUNX1"	"ZRSR2"	71	3	2	0	0	1	-Inf	0	1
"BCOR"	"RUNX1"	71	2	3	0	0	1	-Inf	0	1
"KIT"	"SRSF2"	71	3	2	0	0	1	-Inf	0	1
"KIT"	"U2AF2"	71	3	2	0	0	1	-Inf	0	1
"ABL1"	"KIT"	71	2	3	0	0	1	-Inf	0	1
"KIT"	"ZRSR2"	71	3	2	0	0	1	-Inf	0	1
"BCOR"	"KIT"	71	2	3	0	0	1	-Inf	0	1
"SRSF2"	"t(8;21)"	71	2	3	0	0	1	-Inf	0	1
"t(8;21)"	"U2AF2"	71	3	2	0	0	1	-Inf	0	1
"ABL1"	"t(8;21)"	71	2	3	0	0	1	-Inf	0	1
"t(8;21)"	"ZRSR2"	71	3	2	0	0	1	-Inf	0	1
"BCOR"	"t(8;21)"	71	2	3	0	0	1	-Inf	0	1
"MYC"	"t(8;21)"	71	2	3	0	0	1	-Inf	0	1
"NF1"	"t(8;21)"	71	2	3	0	0	1	-Inf	0	1
"chr8gain"	"SRSF2"	71	3	2	0	0	1	-Inf	0	1
"chr8gain"	"U2AF2"	71	3	2	0	0	1	-Inf	0	1
"ABL1"	"chr8gain"	71	2	3	0	0	1	-Inf	0	1
"chr8gain"	"ZRSR2"	71	3	2	0	0	1	-Inf	0	1
"chr8gain"	"MYC"	71	3	2	0	0	1	-Inf	0	1
"chr8gain"	"NF1"	71	3	2	0	0	1	-Inf	0	1
"chr11qdel"	"chr8gain"	71	2	3	0	0	1	-Inf	0	1
"chr7loss"	"chr8gain"	71	2	3	0	0	1	-Inf	0	1
"inv(16)"	"SRSF2"	71	3	2	0	0	1	-Inf	0	1
"inv(16)"	"U2AF2"	71	3	2	0	0	1	-Inf	0	1
"ABL1"	"inv(16)"	71	2	3	0	0	1	-Inf	0	1
"inv(16)"	"ZRSR2"	71	3	2	0	0	1	-Inf	0	1
"BCOR"	"inv(16)"	71	2	3	0	0	1	-Inf	0	1
"inv(16)"	"MYC"	71	3	2	0	0	1	-Inf	0	1
"chr11qdel"	"inv(16)"	71	2	3	0	0	1	-Inf	0	1
