"A"	"B"	"Neither"	"A.Not.B"	"B.Not.A"	"Both"	"or"	"pval"	"logor"	"nlp"	"adjp"
"chr5qdel"	"SETBP1"	117	1	1	0	0	1	-Inf	0	1
"chr5qdel"	"NOTCH1"	117	1	1	0	0	1	-Inf	0	1
"chr5qdel"	"RAD21"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"chr5qdel"	117	1	1	0	0	1	-Inf	0	1
"chr5qdel"	"EZH2"	117	1	1	0	0	1	-Inf	0	1
"chr5qdel"	"PHF6"	117	1	1	0	0	1	-Inf	0	1
"chr5qdel"	"MAP2K1"	117	1	1	0	0	1	-Inf	0	1
"chr5qdel"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"BRINP3"	"chr5qdel"	117	1	1	0	0	1	-Inf	0	1
"chr5qdel"	"PRPF40B"	117	1	1	0	0	1	-Inf	0	1
"chr5qdel"	"MPL"	117	1	1	0	0	1	-Inf	0	1
"chr5qdel"	"SMC1A"	117	1	1	0	0	1	-Inf	0	1
"chr5qdel"	"KRAS"	117	1	1	0	0	1	-Inf	0	1
"chr5qdel"	"FBXW7"	117	1	1	0	0	1	-Inf	0	1
"chr5qdel"	"IL7R"	117	1	1	0	0	1	-Inf	0	1
"chr5qdel"	"SF1"	117	1	1	0	0	1	-Inf	0	1
"chr17loss"	"chr5qdel"	117	1	1	0	0	1	-Inf	0	1
"chr5qdel"	"inv(16)"	117	1	1	0	0	1	-Inf	0	1
"chr5qdel"	"t(11;19)"	117	1	1	0	0	1	-Inf	0	1
"chr5qdel"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"ATM"	"TP53"	110	4	5	0	0	1	-Inf	0	1
"RUNX1"	"TP53"	110	4	5	0	0	1	-Inf	0	1
"IDH1"	"TP53"	112	2	5	0	0	1	-Inf	0	1
"JAK2"	"TP53"	112	2	5	0	0	1	-Inf	0	1
"CBL"	"TP53"	112	2	5	0	0	1	-Inf	0	1
"MYCN"	"TP53"	112	2	5	0	0	1	-Inf	0	1
"NPM1"	"TP53"	112	2	5	0	0	1	-Inf	0	1
"TP53"	"ZRSR2"	112	5	2	0	0	1	-Inf	0	1
"FLT3"	"SRSF2"	101	9	9	0	0	1	-Inf	0	1
"ASXL1"	"BCOR"	101	15	3	0	0	1	-Inf	0	1
"ASXL1"	"CSF1R"	101	15	3	0	0	1	-Inf	0	1
"CBL"	"DNMT3A"	87	2	30	0	0	1	-Inf	0	1
"DNMT3A"	"MYCN"	87	30	2	0	0	1	-Inf	0	1
"DNMT3A"	"NPM1"	87	30	2	0	0	1	-Inf	0	1
"DNMT3A"	"ZRSR2"	87	30	2	0	0	1	-Inf	0	1
"chr8gain"	"DNMT3A"	87	2	30	0	0	1	-Inf	0	1
"ASXL1"	"MYCN"	102	15	2	0	0	1	-Inf	0	1
"ASXL1"	"NPM1"	102	15	2	0	0	1	-Inf	0	1
"ASXL1"	"MYC"	102	15	2	0	0	1	-Inf	0	1
"ASXL1"	"NRAS"	102	15	2	0	0	1	-Inf	0	1
"ASXL1"	"CDKN2A"	102	15	2	0	0	1	-Inf	0	1
"ASXL1"	"U2AF1"	102	15	2	0	0	1	-Inf	0	1
"ASXL1"	"NF1"	102	15	2	0	0	1	-Inf	0	1
"CDH2"	"IDH1"	116	1	2	0	0	1	-Inf	0	1
"CDH2"	"JAK2"	116	1	2	0	0	1	-Inf	0	1
"CBL"	"CDH2"	116	2	1	0	0	1	-Inf	0	1
"CDH2"	"MYCN"	116	1	2	0	0	1	-Inf	0	1
"CDH2"	"NPM1"	116	1	2	0	0	1	-Inf	0	1
"JAK2"	"SF3B1"	116	2	1	0	0	1	-Inf	0	1
"MYCN"	"SF3B1"	116	2	1	0	0	1	-Inf	0	1
"BIRC3"	"IDH1"	116	1	2	0	0	1	-Inf	0	1
"BIRC3"	"JAK2"	116	1	2	0	0	1	-Inf	0	1
"BIRC3"	"CBL"	116	1	2	0	0	1	-Inf	0	1
"BIRC3"	"MYCN"	116	1	2	0	0	1	-Inf	0	1
"BIRC3"	"NPM1"	116	1	2	0	0	1	-Inf	0	1
